source_table,source_column,target_table,target_column
analysis_pfd,vendor_name_cleaned,business_entity,business_entity_name
analysis_pfd,nomapping,business_entity,source_system_id   
analysis_pfd,nomapping,business_entity,source_system_name
analysis_pfd,nomapping,business_entity,hierarchy_identifier
analysis_pfd,nomapping,business_entity,hierarchy_level
analysis_pfd,nomapping,business_entity,hierarchy_role
analysis_pfd,nomapping,business_entity,parent_id
analysis_pfd,nomapping,business_entity,is_active
analysis_pfd,vendor_name_cleaned,business_entity_details,business_entity_name
analysis_pfd,vendor_annualrevenue,business_entity_details,reported_annual_revenue
analysis_pfd,year_incorporated,business_entity_details,year_incorporated
analysis_pfd,corporate_structures,business_entity_details,company_structure
analysis_pfd,industry_sector_dso_25,business_entity_characteristics,scf_industry_sector_dso_25
analysis_pfd,industry_sector_dso_50,business_entity_characteristics,scf_industry_sector_dso_50
analysis_pfd,industry_sector_dso_75,business_entity_characteristics,scf_industry_sector_dso_75
analysis_pfd,industry_group_dso_25,business_entity_characteristics,scf_industry_group_dso_25
analysis_pfd,industry_group_dso_50,business_entity_characteristics,scf_industry_group_dso_50
analysis_pfd,industry_group_dso_75,business_entity_characteristics,scf_industry_group_dso_75
analysis_pfd,vendor_credit_rating_moody,business_entity_characteristics,moody
analysis_pfd,vendor_credit_rating_sp,business_entity_characteristics,sp
analysis_pfd,vendor_credit_revolver_rate,business_entity_characteristics,credit_revolver_rate
analysis_pfd,vendor_cogs,business_entity_characteristics,cost_of_goods_sold
analysis_pfd,ind_vc_campaign,business_entity_characteristics,vc_campaigned_previously
analysis_pfd,virtualcard_accpetance_tier_legacy,business_entity_characteristics,vc_acceptance_tier_legacy
analysis_pfd,virtualcard_accpetance_tier_model,business_entity_characteristics,vc_acceptance_tier_model
analysis_pfd,virtualcard_accpetance_tier_userdefined,business_entity_characteristics,vc_acceptance_tier_userdefined
analysis_pfd,ind_virtual_card_campaign_count,business_entity_characteristics,vc_campaign_count
analysis_pfd,vc_campaign_accepts,business_entity_characteristics,vc_campaign_accepts
analysis_pfd,registered_agents,business_entity_characteristics,registered_agents
analysis_pfd,vendor_government_id,business_entity_identifiers,tax_id
analysis_pfd,vendor_alternate_name,business_entity_identifiers,dba
analysis_pfd,google_places_id,business_entity_identifiers,google_places_id
analysis_pfd,Enigma_id,business_entity_identifiers,enigma_id
analysis_pfd,Enigma_business_id,business_entity_identifiers,enigma_business_id
analysis_pfd,eins,business_entity_identifiers,associated_tax_ids
analysis_pfd,vendor_id,business_entity_identifiers,client_vendor_id
analysis_pfd,site_id,business_entity_identifiers,client_vendor_site_id
analysis_pfd,vendor_country,physical_address,country
analysis_pfd,vendor_state,physical_address,state_province
analysis_pfd,vendor_postcode,physical_address,postal_code
analysis_pfd,vendor_address_ln_1,physical_address,street_line_1
analysis_pfd,vendor_address_ln_2,physical_address,street_line_2
analysis_pfd,vendor_address_ln_3,physical_address,city
analysis_pfd,vendor_phone_number,telecommunication_address,primary_phone_number
analysis_pfd,vendor_phone_number_2,telecommunication_address,mobile
analysis_pfd,vendor_email,electronic_address,email
analysis_pfd,vendor_website,electronic_address,website
